office,votes,candidate,party
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 71,21022,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 71,20548,Katrina Shankland,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 72,25773,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 72,14773,Scott S. Krug,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 72,10992,David Gorski,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 73,19094,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 73,18510,Nick Milroy,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 73,16,Jeffery L. Monaghan (write-in),Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 74,28022,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 74,12276,Jeffrey Fahl,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 74,15738,Beth Meyers,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 75,24004,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 75,14925,Romaine Robert Quinn,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 75,9078,Ali Holzman,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 76,37478,Total Votes,NA
